,id_cons,id_pais,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,en_con_carb_porc_anual,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol
0,C-WRL-1980,WRL,14.837,29.859,2.426,20857.609,26.763,0.842,14236.961,2.151,5120.469,9.382,2020.096,-4.182,35514.422,,0.0,75.0,0.031
1,C-WRL-1981,WRL,-8.578,27.297,1.4,21149.68,27.253,1.116,14395.873,2.151,5230.628,18.096,2385.643,-3.556,34251.57,,0.0,0.0,0.031
2,C-WRL-1982,WRL,29.033,35.223,1.115,21385.451,27.708,0.513,14469.734,1.809,5325.266,8.496,2588.317,-3.113,33185.266,,0.0,76.19,0.055
3,C-WRL-1983,WRL,26.366,44.509,3.09,22046.346,28.11,1.618,14703.833,4.268,5552.542,13.335,2933.459,-0.746,32937.605,,0.009,77.27,0.097
4,C-WRL-1984,WRL,20.677,53.713,4.331,23001.078,27.991,8.153,15902.68,3.387,5740.62,21.354,3559.857,2.254,33680.055,110.37,0.019,36.471,0.132
5,C-WRL-1985,WRL,18.362,63.575,4.29,23987.826,28.456,2.261,16262.222,1.978,5854.194,18.68,4224.837,-0.059,33660.102,86.14,0.035,43.491,0.19
6,C-WRL-1986,WRL,25.328,79.678,1.126,24258.033,28.147,0.977,16421.109,1.354,5933.473,7.107,4525.086,3.092,34700.832,29.252,0.045,116.18,0.411
7,C-WRL-1987,WRL,1.83,81.135,3.934,25212.426,28.268,5.242,17281.895,1.355,6013.859,8.779,4922.331,1.996,35393.543,-30.169,0.031,40.73,0.578
8,C-WRL-1988,WRL,5.456,85.563,2.993,25967.129,28.054,4.669,18088.848,3.204,6206.563,9.022,5366.448,3.275,36552.59,-3.839,0.03,69.713,0.98
9,C-WRL-1989,WRL,6.71,91.304,0.957,26215.676,27.784,4.304,18867.309,-0.531,6173.583,2.843,5518.996,1.653,37156.832,2471.835,0.775,699.137,7.835
10,C-WRL-1990,WRL,10.549,100.936,-1.187,25904.469,27.117,3.253,19481.125,3.398,6383.381,2.851,5676.341,1.214,37608.02,48.078,1.148,37.086,10.741
11,C-WRL-1991,WRL,5.662,106.651,-0.966,25654.252,26.664,2.524,19972.84,2.331,6532.163,4.785,5947.927,0.007,37610.637,30.108,1.494,12.505,12.084
12,C-WRL-1992,WRL,-1.867,104.659,-0.381,25556.594,26.396,0.454,20063.484,-0.027,6530.394,0.759,5993.084,1.439,38151.848,-7.644,1.38,15.82,13.996
13,C-WRL-1993,WRL,4.277,109.135,0.505,25685.594,26.322,1.007,20265.482,6.022,6923.665,3.444,6199.476,-0.501,37960.609,19.313,1.646,20.374,16.848
14,C-WRL-1994,WRL,8.046,117.916,0.386,25784.775,26.091,0.613,20389.613,0.629,6967.245,1.877,6315.866,2.194,38793.508,7.242,1.765,25.017,21.062
15,C-WRL-1995,WRL,5.236,124.091,0.694,25963.682,25.694,3.506,21104.494,5.411,7344.212,4.338,6589.833,1.672,39442.176,7.001,1.889,15.991,24.43
16,C-WRL-1996,WRL,-3.944,119.196,2.382,26582.121,25.574,4.998,22159.256,1.343,7442.817,3.634,6829.333,2.211,40314.297,9.454,2.068,11.41,27.218
17,C-WRL-1997,WRL,4.083,124.063,-0.171,26536.688,25.274,-0.582,22030.393,1.748,7572.938,-0.687,6782.445,2.726,41413.242,7.205,2.217,30.563,35.537
18,C-WRL-1998,WRL,1.952,126.485,-0.642,26366.365,24.951,1.832,22433.998,0.78,7631.977,1.721,6899.196,0.558,41644.414,8.298,2.4,32.48,47.079
19,C-WRL-1999,WRL,1.45,128.319,0.429,26479.496,24.629,2.843,23071.902,0.757,7689.778,3.806,7161.753,1.743,42370.09,11.506,2.677,33.257,62.736
20,C-WRL-2000,WRL,-2.185,125.515,3.58,27427.521,24.879,3.998,23994.258,1.774,7826.166,2.256,7323.34,1.206,42880.926,16.988,3.131,48.035,92.871
21,C-WRL-2001,WRL,-3.077,121.653,1.577,27860.15,25.027,1.344,24316.832,-2.569,7575.62,2.823,7481.208,0.874,43255.684,34.403,4.181,22.205,112.757
22,C-WRL-2002,WRL,24.372,151.302,3.93,28955.104,25.453,2.933,25030.143,1.845,7665.619,1.598,7551.709,0.816,43608.863,26.399,5.251,36.38,152.786
23,C-WRL-2003,WRL,13.074,171.084,8.786,31499.232,26.739,2.794,25729.588,-0.131,7606.507,-2.025,7351.346,2.228,44580.648,25.352,6.54,20.901,183.535
24,C-WRL-2004,WRL,18.187,202.199,6.901,33673.012,27.243,3.854,26721.102,7.383,8116.038,4.544,7636.45,3.791,46270.652,31.769,8.563,35.302,246.745
25,C-WRL-2005,WRL,18.865,240.344,7.413,36169.055,28.353,2.683,27438.035,3.367,8336.203,0.263,7608.073,0.869,46672.656,40.908,11.989,22.211,299.64
26,C-WRL-2006,WRL,24.001,298.029,5.253,38069.035,29.018,2.635,28161.105,3.806,8599.057,1.246,7654.419,1.071,47172.609,37.609,16.395,27.573,379.857
27,C-WRL-2007,WRL,31.242,391.139,5.672,40228.418,29.743,4.099,29315.391,1.681,8688.975,-2.038,7451.548,1.243,47758.871,35.684,22.106,28.471,484.956
28,C-WRL-2008,WRL,34.837,527.4,1.355,40773.582,29.802,2.408,30021.316,5.81,9136.709,-0.31,7382.285,-0.88,47338.684,62.415,35.68,29.098,622.178
29,C-WRL-2009,WRL,13.83,600.339,-1.467,40175.355,29.82,-2.066,29401.191,-0.154,9066.3,-1.414,7232.938,-2.043,46371.566,65.97,58.854,25.013,773.002
30,C-WRL-2010,WRL,15.128,691.156,4.533,41996.387,29.722,7.441,31588.861,5.631,9518.042,2.576,7373.733,3.285,47895.074,60.915,94.123,25.157,961.529
31,C-WRL-2011,WRL,5.346,728.102,4.812,44017.293,30.421,2.378,32340.178,1.851,9635.075,-4.184,7022.148,0.861,48307.656,93.394,180.919,27.123,1214.867
32,C-WRL-2012,WRL,3.575,754.132,0.38,44184.375,30.116,2.64,33194.035,4.273,9985.885,-6.857,6500.992,1.455,49010.703,54.83,278.419,20.462,1454.587
33,C-WRL-2013,WRL,8.612,819.076,1.49,44842.613,30.031,1.614,33729.723,4.02,10324.787,0.799,6513.492,1.039,49520.152,36.498,377.747,19.794,1732.017
34,C-WRL-2014,WRL,6.07,868.794,0.71,45161.207,29.912,0.636,33944.273,2.658,10535.741,2.042,6606.678,0.631,49832.441,41.67,531.949,11.07,1912.227
35,C-WRL-2015,WRL,4.178,905.096,-2.451,44054.441,28.934,2.429,34768.672,-0.274,10444.338,1.346,6655.756,1.934,50796.262,29.733,686.007,17.778,2238.786
36,C-WRL-2016,WRL,4.624,946.947,-1.249,43504.164,28.173,2.278,35560.773,3.457,10741.485,1.488,6714.796,1.899,51760.773,28.596,876.955,15.729,2575.582
37,C-WRL-2017,WRL,2.702,972.534,0.569,43751.676,27.795,2.723,36529.223,1.434,10831.405,0.892,6734.873,1.458,52515.543,35.985,1185.515,18.531,3034.917
38,C-WRL-2018,WRL,7.545,1045.908,1.29,44315.875,27.394,5.002,38356.297,2.781,11067.518,2.398,6856.017,1.4,53250.621,29.355,1524.55,11.363,3360.019
39,C-WRL-2019,WRL,7.098,1120.149,-1.39,43699.887,26.781,1.842,39062.945,1.152,11153.792,3.551,7073.29,0.222,53368.625,22.165,1855.592,11.856,3744.515
40,C-WRL-2020,WRL,-4.873,1065.565,-3.972,41963.961,26.785,-1.554,38455.727,2.709,11413.827,-3.661,6789.302,-9.346,48380.707,20.212,2222.443,12.381,4192.682
41,C-WRL-2021,WRL,6.978,1139.921,5.98,44473.195,26.901,4.99,40374.605,-1.66,11183.226,3.945,7031.339,5.766,51170.477,22.012,2701.722,16.632,4872.095
